Job Title,Company Name,Rating,Experience,Salary,Location,Type,Skills Required
Data Scientist,Torcai Digital Media,3,2-5 Yrs,Not disclosed,Hyderabad,Hybrid,DataAanlysis
Data Scientist,Team4progress,5,6-8 Yrs,Not disclosed,Hyderabad,Hybrid,Python
Data Scientist,Genzeon Corporation,3.3,4-7 Yrs,Not disclosed,Mumbai,Hybrid,Python
Data Scientist - Azure Data Factory/NLP Pipeline,CARBYNETECH,4.4,2-7 Yrs,Not disclosed,Hyderabad,Hybrid,Management 
Lead Data Scientist,Retisio,2.6,8-13 Yrs,Not disclosed,Bangalore,Hybrid,ML
Data Scientist 3 - DS3,Quince Corporate Services,4.1,4-6 Yrs,Not disclosed,Bangalore,Hybrid,Python
Opening For Data scientist in Bangalore location,Enrich And Enlight Business Consulting,4.1,5-9 Yrs,8-13 Lacs PA,Bangalore,Hybrid,Python
Data Scientist,Peak,4.1,2-7 Yrs,Not disclosed,Mumbai,Hybrid,SQL
Data Scientist | Pune,Peoplefy Infosolutions,4.1,2-7 Yrs,Not disclosed,Mumbai,Hybrid,Python
Data Scientist - R/Python,EXL,3.8,2-5 Yrs,5-14 Lacs PA,New Delhi,Hybrid,Python
Data Scientist,Peoplefy Infosolutions,4.1,2-7 Yrs,Not disclosed,Mumbai,Hybrid,Python
Associate Data Scientist,Shell,4.3,3-4 Yrs,Not disclosed,Chennai,Hybrid,Python
Lead Data Scientist,Providence College Of Engineering,4.3,5-10 Yrs,Not disclosed,Hyderabad,Hybrid,ML
Data Scientist,Kuhoo Technology Services,4.4,3-7 Yrs,Not disclosed,Mumbai,Hybrid,Python
Data Scientist,IDP,4,1-2 Yrs,Not disclosed,Chennai,Hybrid,SQL
Data Scientist,Sea And Beyond,4.1,2-5 Yrs,Not disclosed,Mumbai,Hybrid,Python
Data Scientist,Topgear Consultants,4.1,4-7 Yrs,Not disclosed,New Delhi,Hybrid,Python
Data Scientist,Metlife,4.4,2-5 Yrs,Not disclosed,Hyderabad,Hybrid,Management 
Analytics Specialist - Data Visualization,Accenture,4.1,7-11 Yrs,Not disclosed,Bangalore,Hybrid,Python
Data Scientist,Bprise,4.4,3-7 Yrs,Not disclosed,Mumbai,Hybrid,ML
Data Scientist - Optimus (Deep Learning / Reinforcement Learning),Bert Labs,3,2-8 Yrs,Not disclosed,Bangalore,Hybrid,SQL
Data Scientist - Machine Learning / Artificial Intelligence,Shreeniwas,4.1,3-6 Yrs,Not disclosed,Bangalore,Hybrid,AWS
